160,Africa Freight Services,\N,AFREIGHT,\N,AFZ
161,Aeronaves Del Centro,\N,\N,\N,AGA
162,Air Service Gabon,\N,\N,G8,AGB
163,Arab Agricultural Aviation Company,\N,AGRICO,\N,AGC
164,Atlantic Gulf Airlines,\N,ATLANTIC GULF,\N,AGF
165,Aerolitoral,\N,COSTERA,5D,SLI
166,Algoma Airways,\N,ALGOMA,\N,AGG
167,Altagna,\N,ALTAGNA,\N,AGH
168,Angola Air Charter,\N,ANGOLA CHARTER,\N,AGO
169,Angola Air Charter,\N,ANGOLA CHARTER,\N,AGO
170,AERFI Group,\N,AIR TARA,\N,AGP
171,Aerogala,\N,GALASERVICE,\N,AGQ
172,Amadeus Global Travel Distribution,\N,AMADEUS,1A,AGT
173,Angara Airlines,\N,SARMA,\N,AGU
174,Air Glaciers,\N,AIR GLACIERS,7T,AGV
175,Aero Gambia,\N,AERO GAMBIA,\N,AGW
176,Aviogenex,\N,GENEX,\N,AGX
177,Atlantic Coast Airlines,\N,BLUE RIDGE,\N,BLR
178,Aero Barloz,\N,AEROLOZ,\N,BLZ
179,Aeroper,\N,Aeroperu,PL,PLI
180,Atlas Blue,\N,ATLAS BLUE,8A,BMM
181,Aero Banobras,\N,AEROBANOBRAS,\N,BNB
182,Aero Flight Service,\N,FLIGHT GROUP,\N,AGY
183,Agrolet-Mci,\N,AGROLET,\N,AGZ
184,Air Alpha Greenland,\N,AIR ALPHA,GD,AHA
185,Azal Avia Cargo,\N,AZALAVIACARGO,\N,AHC
186,Airport Helicopter Basel,\N, Muller & Co.,\N,AHE
187,Aeroservices Corporate,\N,BIRD JET,\N,CJE
188,Aspen Helicopters,\N,ASPEN,\N,AHF
189,Aerochago Airlines,\N,AEROCHAGO,\N,AHG
190,Airplanes Holdings,\N,AIRHOLD,\N,AHH
191,Air Hong Kong,\N,AIR HONG KONG,LD,AHK
192,Aerochiapas,\N,AEROCHIAPAS,\N,AHP
193,Air Adriatic,\N,ADRIATIC,\N,AHR
194,Air Viggi San Raffaele,\N,AIRSAR,\N,AHS
195,ABC Air Hungary,\N,ABC HUNGARY,\N,AHU
196,Aeromist-Kharkiv,\N,AEROMIST,HT,AHW
197,Azerbaijan Airlines,\N,AZAL,J2,AHY
198,Avies,\N,AVIES,U3,AIA
199,Airbus Industrie,\N,AIRBUS INDUSTRIE,AP,AIB
200,Alpine Air Chile,\N,ALPINE CHILE,\N,AIH
201,Air Integra,\N,INTEGRA,\N,AII
202,ABC Aerolineas,\N,ABC AEROLINEAS,\N,AIJ
203,African Airlines International Limited,\N,AFRICAN AIRLINES,\N,AIK
204,African International Airways,\N,FLY CARGO,\N,AIN
205,Alpine Air Express,\N,ALPINE AIR,5A,AIP
206,Alicante Internacional Airlines,\N,ALIA,\N,AIU
207,Aba Air,\N,BAIR,\N,ABP
208,Airblue,\N,PAKBLUE,ED,ABQ
209,Airmark Aviation,\N,THAI AIRMARK,\N,THM
210,Airlift International,\N,AIRLIFT,\N,AIR
211,Airest,\N, ,\N,AIT
212,Air Baffin,\N,AIR BAFFIN,\N,BFF
213,Air Bandama,\N,BANDAMA,\N,BDM
214,Air Berlin,\N,AIR BERLIN,AB,BER
215,Air Brousse,\N,AIR BROUSSE,\N,ABT
216,Air Contractors,\N,CONTRACT,AG,ABR
217,Air Illinois,\N,AIR ILLINOIS,\N,AIL
218,Air India Limited,\N,AIRINDIA,AI,AIC
219,Air Inter Gabon,\N, ,\N,AIG
220,Air Bourbon,\N,BOURBON,ZB,BUB
221,Air Atlanta Icelandic,\N,ATLANTA,CC,ABD
222,Air Inuit,\N,AIR INUIT,\N,AIE
223,Air Sureste,\N,SURESTE,\N,AIS
224,Air Srpska,\N,Air Srpska,RB,SBK
225,Air Tahiti Nui,\N,TAHITI AIRLINES,TN,THT
226,Airvias S/A Linhas Aereas,\N,AIRVIAS,\N,AIV
227,Aero Services Executive,\N,BIRD EXPRESS,W4,BES
228,Atlantic Island Airways,\N,TARTAN,\N,AIW
229,Aircruising Australia,\N,CRUISER,\N,AIX
230,Aircrew Check and Training Australia,\N,AIRCREW,\N,AIY
231,Arkia Israel Airlines,\N,ARKIA,IZ,AIZ
232,A J Services,\N,AYJAY SERVICES,\N,AJA
233,Aero JBR,\N,AERO JBR,\N,AJB
234,Aero Jet Express,\N,JET EXPRESS,\N,AJE
235,Avia Consult Flugbetriebs,\N,AVIACONSULT,\N,AJF
236,Ameristar Jet Charter,\N,AMERISTAR,\N,AJI
237,A2 Jet Leasing,\N,ATLANTIC JET,\N,AJJ
238,Allied Air,\N,BAMBI,\N,AJK
239,Air Jamaica,\N,JAMAICA,JM,AJM
240,Air One,\N,HERON,AP,ADH
241,Air Sahara,\N,SAHARA,S2,RSH
242,Air Malta,\N,AIR MALTA,KM,AMC
243,Aeroejecutivo,\N,AEROEXO,\N,AJO
244,Aero Jets Corporativos,\N,AEROJETS,\N,AJP
245,Aeroejecutivos Colombia,\N,AEROEJECUTIVOS,\N,AJS
246,Amerijet International,\N,AMERIJET,M6,AJT
247,Air Jetsul,\N,AIRJETSUL,\N,AJU
248,ANA & JP Express,\N,AYJAY CARGO,\N,AJV
249,Alpha Jet International,\N,ALPHAJET,\N,AJW
250,Air Japan,\N,AIR JAPAN,NQ,AJX
251,Ajet,\N,AYJET,\N,AJY
252,Air Korea Co. Ltd.,\N,\N,\N,AKA
253,Air Livonia,\N,LIVONIA,\N,LIV
254,Air BC,\N,AIRCOACH,\N,ABL
255,Air Fret Senegal,\N, ,\N,ABN
256,Air Jamahiriya Company,\N,AIR JAMAHIRIYA,\N,LJA
257,Aktjubavia,\N,KARAB,\N,AKB
258,Arca Aerovias Colombianas Ltda.,\N,ARCA,\N,AKC
259,Anikay Air Company,\N,ANIKAY,\N,AKF
260,Akhal,\N,AKHAL,\N,AKH
261,Aeromilenio,\N,AEROMIL,\N,MNI
262,Aklak Air,\N,AKLAK,\N,AKK
263,Air Kiribati,\N,\N,4A,AKL
264,Alkan Air,\N,ALKAN AIR,\N,AKN
265,Angkor Airways,\N,ANGKORWAYS,\N,AKW
266,Air Nippon Network Co. Ltd.,\N,ALFA WING,EH,AKX
267,AK Navigator LLC,\N,ABSOLUTE,\N,AKZ
268,Aero Albatros,\N,ALBATROS,\N,ALB
269,Albion Aviation,\N,ALBION,\N,ALD
270,Aeroalas Colombia,\N,AEROALAS,\N,ALE
271,Allied Command Europe (Mobile Force),\N,ACEFORCE,\N,ALF
272,Aerotaxis Albatros,\N,AEROLINEAS ALBATROS,\N,BTS
273,American Flyers,\N,AMERICAN FLYERS,\N,FYS
274,Aero Coach Aviation,\N,AERO COACH,\N,DFA
275,Atlantic Southeast Airlines,\N,Chandler,\N,CAA
276,ACM Air Charter,\N,BAVARIAN,\N,BVR
277,Air Logistics,\N,AIRLOG,\N,ALG
278,Aerovallarta,\N,VALLARTA,\N,ALL
279,Air ALM,\N,ANTILLEAN,\N,ALM
280,Air Lincoln,\N,CHICAGO LINCOLN,\N,ALN
281,America West Airlines,\N,CACTUS,HP,AWE
282,Air Wisconsin,\N,AIR WISCONSIN,ZW,AWI
283,Aerotransporte de Carga Union,\N,AEROUNION,\N,TNO
284,Aero Taxis Cessna,\N,TAXIS CESSNA,\N,TND
285,Arizona Express Airlines,\N,TEMPE,\N,TMP
286,Tatarstan Airlines,\N,TATARSTAN,U9,TAK
287,Allegheny Commuter Airlines,\N,ALLEGHENY,\N,ALO
288,Alpliner AG,\N,ALPINER,\N,ALP
289,Altair Aviation (1986),\N,ALTAIR,\N,ALQ
290,Air Luxor STP,\N,LUXORJET,\N,ALU
291,Alas de Venezuela,\N,ALVEN,\N,ALV
292,Alas Nacionales,\N, S.A.,\N,ALW
293,Alyeska Air Service,\N,ALYESKA,\N,ALY
294,Alta Flights (Charters) Ltd.,\N, ,\N,ALZ
295,Air Sunshine,\N,AIR SUNSHINE,\N,RSI
296,ATMA,\N,ADIK,\N,AMA
297,Aerolineas Medellin,\N,AEROLINEAS MEDELLIN,\N,AMD
298,Ameriflight,\N,AMFLIGHT,\N,AMF
299,Air Libert,\N,\N,VD,\N
300,Air Lithuania,\N,KAUNAS,TT,KLA
301,Air Minas Linhas A,\N,AIR MINAS,\N,AMG
302,Alan Mann Helicopters Ltd.,\N,MANN,\N,AMH
303,Air Maldives,\N,AIR MALDIVES,\N,AMI
304,Aviation Amos,\N,AVIATION AMOS,\N,AMJ
305,Amerer Air,\N,AMER AIR,\N,AMK
306,Air Malawi,\N,MALAWI,QM,AML
307,Aeroputul International Marculesti,\N,AEROM,\N,AMM
308,Air Montenegro,\N,MONTENEGRO,\N,AMN
309,Air Montreal (Air Holdings Inc.),\N,AIR MONTREAL,\N,AMO
310,Aero Transporte S.A. (ATSA),\N,ATSA,\N,AMP
311,Aeromedicare Ltd.,\N,LIFELINE,\N,AMQ
312,Air Sicilia,\N,\N,BM,\N
313,Air Specialties Corporation,\N,AIR AM,\N,AMR
314,Air Muskoka,\N,AIR MUSKOKA,\N,AMS
315,ATA Airlines,\N,AMTRAN,\N,AMT
316,Air Macau,\N,AIR MACAO,NX,AMU
317,AMC Airlines,\N,\N,\N,AMV
318,Air Midwest,\N,AIR MIDWEST,ZV,AMW
319,Air Seychelles,\N,SEYCHELLES,HM,SEY
320,Air Sofia,\N,AIR SOFIA,\N,SFB
321,AeroMéxico,\N,AEROMEXICO,AM,AMX
